,created_at,full_text,cleaned_text,retweeted_count,favorite_count,user
72,Wed Apr 08 19:42:49 +0000 2020,"Willy Demeyer, bourgmestre de Liège: «Une proportion anormalement élevée de patients d’origine africaine subsaharienne» hospitalisés à la Citadelle : https://t.co/87TJ5CpRGB via @sudpresseonline","Willy Demeyer, bourgmestre de Liege <<Une proportion anormalement elevee de patients d'origine africaine subsaharienne>> hospitalises a la Citadelle via sudpresseonline",0,0,ThelemaAlex
73,Wed Apr 08 19:22:13 +0000 2020,@TPMP Nous sommes franco belge on est a liege en belgique moi et ma mère de 75 ans et oui on a un petit appartement et pas de jardin ces dure mais on reste chez nous on respecte le confinement on sort juste pour les course et encore ces super dure car moi je reste fort pr ma mère,TPMP Nous sommes franco belge on est a liege en belgique moi et ma mere de 75 ans et oui on a un petit appartement et pas de jardin ces dure mais on reste chez nous on respecte le confinement on sort juste pour les course et encore ces super dure car moi je reste fort pr ma mere,0,0,Raphal19179998
74,Wed Apr 08 19:20:48 +0000 2020,"« Les gens ont donné sans rien attendre en retour, alors que certains sont au chômage technique. » Une somme... ...qui permettra d’aider bien plus de monde que prévu 👍🏼
@ladh revient sur le succès de Liège-sur-Vivra.
https://t.co/F73wtyYfet
#RFCLiège #Liège @mattsint","<< Les gens ont donne sans rien attendre en retour, alors que certains sont au chomage technique >> Une somme qui permettra d'aider bien plus de monde que prevu ladh revient sur le succes de Liege-sur-Vivra RFCLiege Liege mattsint",3,14,JOHAN_1892
75,Wed Apr 08 19:20:13 +0000 2020,"Les gens de liège jsp si vs avez remarqué mais il commence à y avoir une secte, celle des gens qui font du business en ligne eh Cmt ils cassent les yeucouuuu","Les gens de liege jsp si vs avez remarque mais il commence a y avoir une secte, celle des gens qui font du business en ligne eh Cmt ils cassent les yeucouuuu",0,2,HikenNoSeife
76,Wed Apr 08 17:16:36 +0000 2020,"Devoir passer par le tas... Venanzi est vraiment le président le plus pitoyable de l'histoire du club! #RSCL
Bientôt Standard-Liege, Seraing, Visé? C'est probable. Certains disaient aussi que le Corona n'arriverait pas ici...","Devoir passer par le tas Venanzi est vraiment le president le plus pitoyable de l'histoire du club RSCL Bientot Standard-Liege, Seraing, Vise C'est probable Certains disaient aussi que le Corona n'arriverait pas ici",0,3,Samcook1990
77,Wed Apr 08 16:59:42 +0000 2020,"COMMUNIQUÉ | Le Standard de Liège devant la CBAS pour l'obtention de sa licence 👉 https://t.co/mfQ8HimDsy 📄

COMMUNIQUÉ | Standard voor het BAS om zijn licentie te verkrijgen 👉 https://t.co/rGUfcl5qg9 📄

#RSCL https://t.co/ygMN15JWSd",COMMUNIQUE | Le Standard de Liege devant la CBAS pour l'obtention de sa licence COMMUNIQUE | Standard voor het BAS om zijn licentie te verkrijgen RSCL,46,93,Standard_RSCL
78,Wed Apr 08 16:53:25 +0000 2020,Le CHU lance un réseau couture contre le Coronavirus  - RTC T�l� Li�ge https://t.co/rW8ZptJUrW via @RTC_Tele_Liege,Le CHU lance un reseau couture contre le Coronavirus - RTC Tl Lige via RTC Tele Liege,0,0,moncoeur1971
79,Wed Apr 08 16:50:24 +0000 2020,@Mdelormeau Ha oui tu lis les coms alors on va voir je te lance un défis tu peux dire à baba que la je le regarde toi et vous tous et que je voudrais qu'il dise à ma maman en direct bonsoir simone et Raphaël de liege en belgique svp ou sinon gros bisous quand même,Mdelormeau Ha oui tu lis les coms alors on va voir je te lance un defis tu peux dire a baba que la je le regarde toi et vous tous et que je voudrais qu'il dise a ma maman en direct bonsoir simone et Raphael de liege en belgique svp ou sinon gros bisous quand meme,0,0,Raphal19179998
80,Wed Apr 08 16:45:34 +0000 2020,@raphschmitz @mattsint @rfcliege @Standard_RSCL @EersteAmateur @ladh @lessportsplus Non puisqu’ils volent en D2 amateurs et Liège est en D1. Mais ça n’arrivera évidemment pas...,raphschmitz mattsint rfcliege Standard RSCL EersteAmateur ladh lessportsplus Non puisqu'ils volent en D2 amateurs et Liege est en D1 Mais ca n'arrivera evidemment pas,0,1,TOS1892
81,Wed Apr 08 16:13:26 +0000 2020,@cedubeton WOPITAIN mon gars jamais tu pourras faire renouveler ton passeport pour Liège avec des commentaires pareils...,cedubeton WOPITAIN mon gars jamais tu pourras faire renouveler ton passeport pour Liege avec des commentaires pareils,0,9,twhiitney
82,Wed Apr 08 16:00:01 +0000 2020,❤️🔗 Restez informés sur l'actualité concernant le #Covid19BE et les dispositions communales en “aimant” la page Ville de Liège. Soyez solidaires et n’hésitez pas à partager nos publications pour que celles-ci atteignent un plus grand nombre. #LiegeSolidaire #RestezChezVous https://t.co/tHg42MQCqm,"[] Restez informes sur l'actualite concernant le Covid19BE et les dispositions communales en ""aimant"" la page Ville de Liege Soyez solidaires et n'hesitez pas a partager nos publications pour que celles-ci atteignent un plus grand nombre LiegeSolidaire RestezChezVous",9,16,VilledeLiege
83,Wed Apr 08 15:38:24 +0000 2020,Près de 150.000 euros déjà débloqués dans le cadre du plan d'urgence SDF à Liège https://t.co/MkTARqJeoJ via @rtbfinfo,Pres de 150000 euros deja debloques dans le cadre du plan d'urgence SDF a Liege via rtbfinfo,0,0,moncoeur1971
84,Wed Apr 08 15:30:32 +0000 2020,"Merci à @PolicedeLiege de veiller au #confinement au parc ou bois de la Chartreuse 👍
D'après ce que j'ai vu ce jour beaucoup n'ont toujours pas compris
🤦‍♂️
#liège #liege",Merci a PolicedeLiege de veiller au confinement au parc ou bois de la Chartreuse D'apres ce que j'ai vu ce jour beaucoup n'ont toujours pas compris [] liege liege,0,0,_kael___
85,Wed Apr 08 14:50:11 +0000 2020,Depuis que ça s’est bloqué à Liège moi je ne monte plus sur aucune attraction https://t.co/zQKRT7S5nK,Depuis que ca s'est bloque a Liege moi je ne monte plus sur aucune attraction,0,1,Fuentezz7
86,Wed Apr 08 13:27:00 +0000 2020,❤️💙 Fier d'être Liégeois: les supporters du #RFCLiège récoltent 55.000€ au profit du @CHRCitadelle du @CHULiege et du Relais Social (SDF) #Liège #covid19be https://t.co/WSqQLWHbLP,[] Fier d'etre Liegeois les supporters du RFCLiege recoltent 55000EUR au profit du CHRCitadelle du CHULiege et du Relais Social (SDF) Liege covid19be,0,19,LiveFromLiege
87,Wed Apr 08 12:52:29 +0000 2020,La technique mise au point à l’ULiège permet d’augmenter de 2000 tests la capacité quotidienne de détection du coronavirus à Liège. L’ULiège devient ainsi l’un des 5 centres de référence pour le dépistage du SARS-CoV-2. https://t.co/Eg8VEg6JHt via @universiteliege,La technique mise au point a l'ULiege permet d'augmenter de 2000 tests la capacite quotidienne de detection du coronavirus a Liege L'ULiege devient ainsi l'un des 5 centres de reference pour le depistage du SARS-CoV-2 via universiteliege,1,1,LaurentCavenati
88,Wed Apr 08 12:16:03 +0000 2020,"Félicitations à @UniversiteLiege et à l'équipe du laboratoire #GeMME qui participe au projet innovant #LifePLASplus sur le #recyclage des #plastiques et des #minéraux. #H2020 #Horizon2020 #UE #ULiege #ReverseMetallurgy #matériaux #innovation #mobilité 
https://t.co/CPwLFB8K2n",Felicitations a UniversiteLiege et a l'equipe du laboratoire GeMME qui participe au projet innovant LifePLASplus sur le recyclage des plastiques et des mineraux H2020 Horizon2020 UE ULiege ReverseMetallurgy materiaux innovation mobilite,3,4,GRE_Liege
89,Wed Apr 08 10:57:28 +0000 2020,"Dans le quartier St-léonard à Liège, on ne trouve plus d’endroits où se procurer des sacs jaunes pour jeter ses déchets à cause du confinement https://t.co/hRlxdPKaHV","Dans le quartier St-leonard a Liege, on ne trouve plus d'endroits ou se procurer des sacs jaunes pour jeter ses dechets a cause du confinement",0,0,LaMeuse_be
90,Wed Apr 08 10:48:15 +0000 2020,"@brunotoucourt @cruckejeanluc @LGGLiegeAirport notre environnement, la qualité de vie à Liège, et un tissu de PME et d'artisans impossible à reconstituer. Non. Vraiment non. D'ailleurs, ils ne produisent aucune étude. Ils savent que c'est un fantasme de court terme.","brunotoucourt cruckejeanluc LGGLiegeAirport notre environnement, la qualite de vie a Liege, et un tissu de PME et d'artisans impossible a reconstituer Non Vraiment non D'ailleurs, ils ne produisent aucune etude Ils savent que c'est un fantasme de court terme",0,1,Niala_V
91,Wed Apr 08 10:24:54 +0000 2020,"Nos artisanes-couturières participent à la confection des blouses médicales pour le @CHULiege 🩺 #Liege

SOLIDAIRES, toutes et tous ! 

📍@RTC_Tele_Liege 

https://t.co/UVuO0zFxl3","Nos artisanes-couturieres participent a la confection des blouses medicales pour le CHULiege Liege SOLIDAIRES, toutes et tous RTC Tele Liege",4,12,TheatreDeLiege
92,Wed Apr 08 10:23:29 +0000 2020,"Ca bouge du côté de l'ancienne Papeterie Godin à Marchin, dont les sols ont été assainis par #SPAQUE. Des bâtiments novateurs pour TPE seront bientôt construits par la @SPI_Liege https://t.co/TGkavYlI2E","Ca bouge du cote de l'ancienne Papeterie Godin a Marchin, dont les sols ont ete assainis par SPAQUE Des batiments novateurs pour TPE seront bientot construits par la SPI Liege",1,1,SPAQuEsa
93,Wed Apr 08 10:18:56 +0000 2020,"Vous vous souvenez de l'installation ""Ornis"" de Charles Kaisin ? 🐦 #Liege

C'est l'occasion de vous parler de l'initiative #OrigamiforLife de l’artiste pour récolter des fonds pour l'Hôpital Erasme, sous forme d’une installation d’Origamis.

👉🏻 https://t.co/5yCXdYaa8G https://t.co/rKVAJ9Edvc","Vous vous souvenez de l'installation ""Ornis"" de Charles Kaisin Liege C'est l'occasion de vous parler de l'initiative OrigamiforLife de l'artiste pour recolter des fonds pour l'Hopital Erasme, sous forme d'une installation d'Origamis",0,2,TheatreDeLiege
94,Wed Apr 08 10:14:01 +0000 2020,Des douches supplémentaires pour les sans-abri à Liège - RTC T�l� Li�ge https://t.co/GMdrGxgOV0 via @RTC_Tele_Liege,Des douches supplementaires pour les sans-abri a Liege - RTC Tl Lige via RTC Tele Liege,0,0,moncoeur1971
95,Wed Apr 08 10:08:05 +0000 2020,Toute fête annulée jusqu’au 30 juin en province de Liège ? https://t.co/SWI6wAeQrt https://t.co/qEG8Y0mc03,Toute fete annulee jusqu'au 30 juin en province de Liege,0,0,lameuseliege
96,Wed Apr 08 09:41:02 +0000 2020,Covid-19: une nouvelle technique de l’université de Liège pour tester 10.000 à 20.000 personnes par jour en Belgique https://t.co/py3YJ4ahAQ,Covid-19 une nouvelle technique de l'universite de Liege pour tester 10000 a 20000 personnes par jour en Belgique,0,0,TodayinliegeBe
97,Wed Apr 08 09:40:42 +0000 2020,"Les chercheurs @Alex0Phi et @hamzabashandy étaient venus présenter ce projet aux #formaperos de la Haute École de la Ville de Liège, n'hésitez pas à suivre l'évolution de #liegecraft! https://t.co/bITUF3COlh","Les chercheurs Alex0Phi et hamzabashandy etaient venus presenter ce projet aux formaperos de la Haute Ecole de la Ville de Liege, n'hesitez pas a suivre l'evolution de liegecraft",2,5,et_ssri
